Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;face1;face2;ANSWER;blockNum;inclusionCheck;pairName;pairType;newBin
1;1652344207370;12/05/2022 08:30:07;1652344213296;2;12/05/2022 10:30:13;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;;;
2;1652344222997;12/05/2022 08:30:22;1652344228970;2;12/05/2022 10:30:28;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;15551.299999999988;;;;;0;1;0;;;;;;Instructions;;;;;;;;
3;1652344223401;12/05/2022 08:30:23;1652344229389;2;12/05/2022 10:30:29;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;40;1;1;Cross;fixation;fixation;449.9389999999985;;;;;0;1;0;;;;;1;FaceBlock;F59_597.png;F59_593.png;SAME PERSON;;test;F59_597.pngF59_593.png;same;7
4;1652344224995;12/05/2022 08:30:24;1652344230989;2;12/05/2022 10:30:30;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;40;1;2;TwoFaces;TIMER;timelimit_screen;1599.7820000000029;;;;;0;1;0;;;1;;1;FaceBlock;F59_597.png;F59_593.png;SAME PERSON;;test;F59_597.pngF59_593.png;same;7
5;1652344225116;12/05/2022 08:30:25;1652344231026;2;12/05/2022 10:30:31;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;40;1;3;SimilarityResponse;SimilaritySlider;response_slider_initialValue;0;;;50;;0;1;0;;;;;1;FaceBlock;F59_597.png;F59_593.png;SAME PERSON;;test;F59_597.pngF59_593.png;same;7
6;1652344234491;12/05/2022 08:30:34;1652344240455;2;12/05/2022 10:30:40;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;40;1;3;SimilarityResponse;SimilaritySlider;response_slider_endValue;9428.899999999994;;;74;;0;1;0;;;;;1;FaceBlock;F59_597.png;F59_593.png;SAME PERSON;;test;F59_597.pngF59_593.png;same;7
7;1652344234577;12/05/2022 08:30:34;1652344240457;2;12/05/2022 10:30:40;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;40;1;3;SimilarityResponse;Zone2;response_button_text;9428.899999999994;;;SAME PERSON;1;1;0;0;;;;;1;FaceBlock;F59_597.png;F59_593.png;SAME PERSON;;test;F59_597.pngF59_593.png;same;7
8;1652344234905;12/05/2022 08:30:34;1652344240887;2;12/05/2022 10:30:40;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;11;2;1;Cross;fixation;fixation;449.9390000000021;;;;;0;1;0;;;;;1;FaceBlock;00081_931230_fa.png;00751_941201_fb.png;DIFFERENT PEOPLE;;test;00081_931230_fa.png00751_941201_fb.png;diff;15
9;1652344236508;12/05/2022 08:30:36;1652344242488;2;12/05/2022 10:30:42;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;11;2;2;TwoFaces;TIMER;timelimit_screen;1599.775999999998;;;;;0;1;0;;;1;;1;FaceBlock;00081_931230_fa.png;00751_941201_fb.png;DIFFERENT PEOPLE;;test;00081_931230_fa.png00751_941201_fb.png;diff;15
10;1652344236582;12/05/2022 08:30:36;1652344242508;2;12/05/2022 10:30:42;87583;1;task-mlua;;21844643;BLIND;6454025;;complete;;;computer;Desktop or Laptop;Windows 10;Chrome 101.0.4951.54;1280x720;1280x569;;OFMT full task;6;Spreadsheet1;Spreadsheet1;11;2;3;SimilarityResponse;SimilaritySlider;response_slider_initialValue;0;;;50;;0;1;0;;;;;1;FaceBlock;00081_931230_fa.png;00751_941201_fb.png;DIFFERENT PEOPLE;;test;00081_931230_fa.png00751_941201_fb.png;diff;15
