Event Index;UTC Timestamp;UTC Date;Local Timestamp;Local Timezone;Local Date;Experiment ID;Experiment Version;Tree Node Key;Repeat Key;Schedule ID;Participant Public ID;Participant Private ID;Participant Starting Group;Participant Status;Participant Completion Code;Participant External Session ID;Participant Device Type;Participant Device;Participant OS;Participant Browser;Participant Monitor Size;Participant Viewport Size;Checkpoint;Task Name;Task Version;Spreadsheet;Spreadsheet Name;Spreadsheet Row;Trial Number;Screen Number;Screen Name;Zone Name;Zone Type;Reaction Time;Reaction Onset;Response Type;Response;Attempt;Correct;Incorrect;Dishonest;X Coordinate;Y Coordinate;Timed Out;randomise_blocks;randomise_trials;display;face1;face2;ANSWER;blockNum;inclusionCheck;pairName;pairType;newBin
1;1652275883819;11/05/2022 13:31:23;1652275883606;2;11/05/2022 15:31:23;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;;;BEGIN TASK;;;;;;;;;;0;1;0;;;;;;;;;;;;;;
2;1652275894987;11/05/2022 13:31:34;1652275894858;2;11/05/2022 15:31:34;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;1;1;1;Screen 1;advancementZone;continue_button;11194;;;;;0;1;0;;;;;;Instructions;;;;;;;;
3;1652275895385;11/05/2022 13:31:35;1652275895282;2;11/05/2022 15:31:35;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;21;1;1;Cross;fixation;fixation;448;;;;;0;1;0;;;;;1;FaceBlock;F55_551.png;F57_575.png;DIFFERENT PEOPLE;;test;F55_551.pngF57_575.png;diff;3
4;1652275897027;11/05/2022 13:31:37;1652275896885;2;11/05/2022 15:31:36;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;21;1;2;TwoFaces;TIMER;timelimit_screen;1601;;;;;0;1;0;;;1;;1;FaceBlock;F55_551.png;F57_575.png;DIFFERENT PEOPLE;;test;F55_551.pngF57_575.png;diff;3
5;1652275897131;11/05/2022 13:31:37;1652275896904;2;11/05/2022 15:31:36;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;21;1;3;SimilarityResponse;SimilaritySlider;response_slider_initialValue;0;;;50;;0;1;0;;;;;1;FaceBlock;F55_551.png;F57_575.png;DIFFERENT PEOPLE;;test;F55_551.pngF57_575.png;diff;3
6;1652275907567;11/05/2022 13:31:47;1652275907457;2;11/05/2022 15:31:47;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;21;1;3;SimilarityResponse;SimilaritySlider;response_slider_endValue;10552;;;4;;0;1;0;;;;;1;FaceBlock;F55_551.png;F57_575.png;DIFFERENT PEOPLE;;test;F55_551.pngF57_575.png;diff;3
7;1652275907655;11/05/2022 13:31:47;1652275907459;2;11/05/2022 15:31:47;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;21;1;3;SimilarityResponse;Zone1;response_button_text;10552;;;DIFFERENT PEOPLE;1;1;0;0;;;;;1;FaceBlock;F55_551.png;F57_575.png;DIFFERENT PEOPLE;;test;F55_551.pngF57_575.png;diff;3
8;1652275908020;11/05/2022 13:31:48;1652275907902;2;11/05/2022 15:31:47;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;38;2;1;Cross;fixation;fixation;455;;;;;0;1;0;;;;;1;FaceBlock;M20_202.png;M20_201.png;SAME PERSON;;test;M20_202.pngM20_201.png;same;10
9;1652275909608;11/05/2022 13:31:49;1652275909510;2;11/05/2022 15:31:49;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;38;2;2;TwoFaces;TIMER;timelimit_screen;1608;;;;;0;1;0;;;1;;1;FaceBlock;M20_202.png;M20_201.png;SAME PERSON;;test;M20_202.pngM20_201.png;same;10
10;1652275909701;11/05/2022 13:31:49;1652275909520;2;11/05/2022 15:31:49;87583;1;task-mlua;;21826622;BLIND;6449458;;complete;;;computer;Desktop or Laptop;Mac OS 10.15.7;Safari 15.4;1440x900;1440x848;;OFMT full task;6;Spreadsheet1;Spreadsheet1;38;2;3;SimilarityResponse;SimilaritySlider;response_slider_initialValue;0;;;50;;0;1;0;;;;;1;FaceBlock;M20_202.png;M20_201.png;SAME PERSON;;test;M20_202.pngM20_201.png;same;10
